Category,Subassembly,Part No.,Part Name,Supplier,Qty,Units, Unit Cost , Cost ,Link,Note
,,MB12,"12"" x 12"" Breadboard",Thorlabs,1,each, $184.47 , $184.47 ,https://www.thorlabs.com/item/MB12,at least 10×12
,G6 Arena,,G6 Arena,,1,each,, $-   ,https://reiserlab.github.io/Modular-LED-Display/G6/,Involved
,G6 Arena,TR1,"1"" post",Thorlabs,4,each, $5.76 , $23.04 ,https://www.thorlabs.com/item/TR1,
Hardware,G6 Arena,92311A197,"#8-32 set screw 3/4""",McMaster Carr,4,each, $0.14 , $0.58 ,https://www.mcmaster.com/92311A197/,
Hardware,G6 Arena,90480A009,#8-32 nuts,McMaster Carr,8,each, $0.02 , $0.16 ,https://www.mcmaster.com/90480A009/,
,G6 Arena,J011595,Spacer posts,3D printed,4,g,, $-   ,../Miscellaneous/G6-Spacer/production/Panel-Spacer-2Panels.stl,
Electrical,G6 Arena,,"Barrel jack power supply (5V, 10A)",,1,each,, $-   ,,
Electrical,G6 Arena,,Micro USB to USB cable,,1,each, $4.50 , $4.50 ,https://www.amazon.com/Smays-5-Pack-Micro-Transfer-Charging/dp/B0DZ6QRRHJ/ref=sr_1_2_sspa,
Hardware,Optostim,91185A293,#8-32 thumb screws,McMaster Carr,4,each, $0.56 , $2.22 ,https://www.mcmaster.com/91185A293-91185A442/,
Hardware,Optostim,90480A009,#8-32 nuts,McMaster Carr,4,each, $0.02 , $0.08 ,https://www.mcmaster.com/90480A009/,
Hardware,G6 Arena,91251A194,"#8-32 cap screw 1/2""",McMaster Carr,4,each, $0.15 , $0.59 ,https://www.mcmaster.com/91251A194/,
,Optostim,8974K24,"Rail 3/8"" dia aluminum rod",McMaster Carr,1,each, $2.89 , $2.89 ,https://www.mcmaster.com/8974K24-8974K241/,
,Optostim,,Optostim light rail holder,3D printed,2,each,, $-   ,Optostimulation/production/optostim-light-rail-holder.stl,
,Optostim,,90 deg rail slider,3D printed,1,each,, $-   ,Optostimulation/production/90Deg-Rail-Slider.stl,
,Optostim,,Optostim light guide,3D printed,1,each,, $-   ,Optostimulation/production/optostim-light-guide.stl,
Electrical,Optostim,,Barrel jack (M) to screw terminals,,1,each,,,,
Electrical,Optostim,,BNC (m) to screw terminals ,,1,each,,,,
Electrical,Optostim,,On-off switch,,1,each,,,,
,Optostim,DLH-xUP-EH,LED lamp housing,LED Supply,1,each, $11.34 , $11.34 ,https://www.ledsupply.com/led-heatsinks/dynamic-led-heatsink-housing,
,Optostim,CREEXPE2-RED-1,Cree XLamp XP-E2 Color High Power LED Star,LED Supply,1,each, $5.14 , $5.14 ,,
,Optostim,10193,10193 Carclo 20mm Lens - Plain Tight Spot LED Optic,LED Supply,1,each, $1.71 , $1.71 ,,
Hardware,Optostim,DLH-XL-NPLE,Dynamic LED Housing All Thread Nipple,LED Supply,1,each, $1.92 , $1.92 ,,
Electrical,Optostim,03023-D-E-350,Buckpuck Luxdrive,LED Supply,1,each, $17.24 , $17.24 ,,
Electrical,Optostim,LO-X-H2-2,Butt Splice Quick Wire Connectors,LED Supply,1,each, $2.56 , $2.56 ,,
Electrical,Optostim,,Barrel jack to screw terminal,,1,each,, $-   ,,
,Fly Holder,,LD40 Micromanipulator,,1,each, $80.00 , $80.00 ,../Miscellaneous/Adapter_metric-imperial_manipulator/production/LD40_Adapter_3in.step,
,Fly Holder,,Micromanipulator adapter plate,3D printed,1,each,, $-   ,,
,Fly Holder,,Fly holder stand,3D printed,1,each,, $-   ,Fly-Holder/production/Friction-Mount-Stand.stl,
,Fly Holder,,Fly holder arm R,3D printed,1,each,, $-   ,Fly-Holder/production/Friction-Mount-Arm-R.stl,
,Fly Holder,,Luer lock blunt tip dispensing needle,Amazon,1,each,, $-   ,https://www.amazon.com/dp/B01FI9GKL0,
Hardware,Fly Holder,91290A125,"M3x0.5 screws, 25 mm",McMaster Carr,5,each, $0.18 , $0.89 ,https://www.mcmaster.com/91290A125/,
Hardware,Fly Holder,90591A250,"M3x0.5 nut, 2mm",McMaster Carr,1,each, $0.03 , $0.03 ,https://www.mcmaster.com/90591A250/,
Camera,Camera,FFY-U3-04S2M-S,"Flir Firefly S USB3: 0.4 MP, Mono, S-mount",Teledyne Flir,1,each, $229.00 , $229.00 ,https://www.teledynevisionsolutions.com/products/firefly-s/?model=FFY-U3-04S2M-S,
,Camera,,S-mount Lens,,1,each,, $-   ,,
Hardware,Camera,91290A011,"M2x0.4, 4mm cap screw",McMaster Carr,6,each, $0.18 , $1.06 ,https://www.mcmaster.com/91290A011/,
Hardware,Camera,91166A180,M2 washer,McMaster Carr,6,each, $0.03 , $0.18 ,https://www.mcmaster.com/91166A180/,
,Camera,,USB3 Micro B to USB cable,,1,each, $5.00 , $5.00 ,https://www.amazon.com/External-Seagate-Toshiba-Western-Passport/dp/B0F1N5W6VW/ref=sr_1_1_sspa,
Electrical,Treadmill,,Integrated Camera + treadmill,"3D printed, resin",1,each, $-   , $-   ,Inexpensive-Treadmill_Assembly/production/G6-Integrated-Inexpensive-Treadmill.stl,
Hardware,Treadmill,,"1/4-20 cap screw, 3/4""",McMaster Carr,2,each, $0.23 , $0.46 ,https://www.mcmaster.com/91251A540/,
,Treadmill,,Ball,General Plastics,1,each,, $-   ,https://www.generalplastics.com/products/fr-7100,
,Treadmill,,Illumination panel,,1,each,, $-   ,Treadmill-Illumination/,
Hardware,Treadmill,91292A833,"M2x0.4 screws, 10 mm",McMaster Carr,3,each, $0.08 , $0.23 ,https://www.mcmaster.com/91292A833/,
Hardware,Treadmill,91828A111,M2x0.4 nuts,McMaster Carr,3,each, $0.07 , $0.22 ,https://www.mcmaster.com/91828A111/,
,Treadmill,5779K108,"Push-to-Connect Tube Fitting for Air, Straight Adapter, for 1/4"" Tube OD x 1/8 NPT Male",McMaster Carr,1,each, $4.95 , $4.95 ,https://www.mcmaster.com/5779K108/,
,Heater,,70 mm circular heating pad,,,each,, $-   ,https://www.amazon.com/XIITIA-70mmx70mm-Adhesive-Elements-Polyimide/dp/B0D5DC9VWB/ref=sr_1_2?,
,Heater,,Heating baseplate,,1,each,, $-   ,../Miscellaneous/Baseplate/production/heat_baseplate_sketch.svg,Laser cut
,Heater,56-NTCLE350E4103FLB0-ND,Thermometer,Digikey,1,each, $1.08 , $1.08 ,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/NTCLE350E4103FLB0/12612895,
,Heater,,Control panel,,,each,, $-   ,,
Electrical,Electrical Box 12V,LO-CONSPLIT-2,Power splitter,LED Supply,1,each, $1.49 , $1.49 ,https://www.ledsupply.com/accessories/lever-splitter-wire-connectors,
Hardware,Electrical Box 12V,91292A115,"M3x0.5 screws, 16 mm",McMaster Carr,6,each, $0.08 , $0.51 ,https://www.mcmaster.com/91292A115/,
Hardware,Electrical Box 12V,90591A250,M3x0.5 nut,McMaster Carr,6,each, $0.03 , $0.18 ,,
Electrical,Electrical Box 12V,,"12V, >2W power supply",,,each,, $-   ,,
,Electrical Box 12V,8505K721,"12"" x 12"" Acrylic sheet",McMaster Carr,0.5,each, $9.65 , $4.83 ,https://www.mcmaster.com/8505K721-8505K112/,"12""x12"" is enough for 2 laser cut boxes, or one box and the heating baseplate. Color choice up to the user"
