Name,Description,Link to Component Page,Link to File,Quantity,Link to Source,Notes
Sphere,Last-A-Foam FR-7120,,,1 + extra,https://www.generalplastics.com/products/fr-7100,Milled or filed to 9 mm diameter sphere
Flow Meter,Dwyer VFA-23 Flow Meter,,,1,https://www.dwyer-inst.com/Product/Flow/Flowmeters/VariableArea/SeriesVF,
Power Supply,5V Power Supply,,,1,https://www.adafruit.com/product/276,
Resistor Multipack,470-3k Ohms recommended,,,1,https://www.amazon.com/SIQUK-Resistors-Resistor-Assortment-Experiments/dp/B091LCG3MP/ref=sr_1_14?dchild=1&keywords=resistor+kit&qid=1628980043&sr=8-14,
Breadboard,,,,1,https://www.digikey.com/en/products/detail/adafruit-industries-llc/4539/12082396?s=N4IgTCBcDaIBIEEAyAxAtAZQJIC0CiABAEIBKeCAIkQPIIkUEDqWAKnAQLLUCqAciyAC6AXyA,
F/F Jumper Wire,,,,1,https://www.digikey.com/en/products/detail/adafruit-industries-llc/1950/6827084,
M/F Jumper Wire,,,,1,https://www.digikey.com/en/products/detail/sparkfun-electronics/PRT-12794/5993859?s=N4IgTCBcDaIFIFUCyAFAogJQAQHUCSGaWSA9AGJYBsAOiFmAAwoDCAyiALoC%2BQA,
M/M Jumper Wire,,,,1,https://www.digikey.com/en/products/detail/sparkfun-electronics/PRT-12795/5993860,
Black Wire,22 AWG stranded,,,1,https://www.digikey.com/en/products/detail/sparkfun-electronics/PRT-08867/6833930,Also used in walking setup.
Red Wire,22 AWG stranded,,,1,https://www.digikey.com/en/products/detail/sparkfun-electronics/PRT-08865/6833925,Also used in walking setup.
DC Power Plug Adaptor,,,,2,https://www.digikey.com/en/products/detail/adafruit-industries-llc/368/5629434,Identical to tethering setup part.
Tubing,"1/4"" OD Pneumatic Tubing",,,1,https://www.amazon.com/dp/B08JGVQY4S,
Air Pump,Rotary air pump,,,1,https://amazon.com/dp/B074N2DCG5,
Rubber Baseplate Feet,,,,,https://amazon.com/dp/B06XPFDQBH,
Heat Pad,,,,1,https://www.amazon.com/dp/B07P1H8N8H,
Temperature Controller,W1209 Temperature Controller,,,1,https://www.amazon.com/dp/B07VDRGK9F,Identical to tethering setup temperature controller. Link ships 2-packs.
IR LED,"850-950 nm LED, 5 mm profile",,,1 per lamp shade,https://www.amazon.com/dp/B01BVGU1R8,
Display,Amazon Fire tablet,,,1,https://www.amazon.com/dp/B07FKR6KXF,
Tablet Holder,,,,1,https://www.amazon.com/dp/B08F77HBSB,
