Name,Description,Description Page,Quantity,Link,,Notes
microscope,USB digital microscope,,1,https://amazon.com/dp/B00XNYXQHE,,
glue,UV cure resin (w/ UV light),,1,https://amazon.com/dp/B00FL0QYEU,,
UV protective glasses,,,1,https://www.amazon.com/dp/B01KJ9JKB6,,
Fly picker wand,transfer pipet,,1,https://amazon.com/dp/B08CMPRNC3,,
Temperature Control,Chiller peltier thermostat,,1,https://www.amazon.com/dp/B07VDRGK9F,,
Tether,"Blunt tip dispensing needle, 34G",,1,https://www.amazon.com/Industrial-Unsterilized-Blunt-Dispensing-Needle/dp/B01FI9GKL0/ref=sr_1_27?dchild=1&keywords=34G+luer&qid=1623265693&s=industrial&sr=1-27,,
Screw,M3x0.5 40mm,,1,https://www.mcmaster.com/91287A028/,,
Locking nuts,M3x0.5,,1,https://www.mcmaster.com/90576A102/,,
Nuts,M3x0.5,,1,https://www.mcmaster.com/90592A085/,,
Washer,"M3, nylon, black",,1,https://www.mcmaster.com/95610A530/,,
Heat pump,,,1,https://www.adafruit.com/product/1335,,
Heat pump power supply,,,1,https://www.adafruit.com/product/352,,
Tether Station Holder,Laser cut (acrylic),,1,https://www.ponoko.com/materials/anti-static-acrylic,,
Paintbrush,,,1,https://www.amazon.com/Elisel-Brushes-Watercolor-Adults-Create/dp/B083G1B3WS/ref=sr_1_7?dchild=1&keywords=fine+tip+paint+brush&qid=1623266468&refinements=p_72%3A2638180011&rnid=2638179011&s=arts-crafts&sr=1-7,,
Round bottom tube,,,,https://www.amazon.com/DEPEPE-Packs-Clear-Plastic-13%C3%9775mm/dp/B073Y11JLB/ref=sr_1_2?dchild=1&keywords=polystyrene+test+tube&qid=1623266962&refinements=p_72%3A1248921011&rnid=1248919011&s=industrial&sr=1-2,,
Hollow Body Pin Vise,,,1,https://www.mcmaster.com/8455A18/,,
